,Team,Player,Fum,Lost,Forced,Own,Opp,Tot,Yds,TD,Season,Type
11,New England Patriots,Trey Flowers,0,0,0,0,2,2,-3,0,2016,Fumbles
12,New England Patriots,Brandon Bolden,0,0,1,1,0,1,0,0,2016,Fumbles
13,New England Patriots,Nate Ebner,0,0,1,1,0,1,0,0,2016,Fumbles
14,New England Patriots,Jamie Collins,0,0,1,0,0,0,0,0,2016,Fumbles
15,New England Patriots,Malcolm Butler,0,0,1,0,2,2,2,0,2016,Fumbles
16,New England Patriots,Malcom Brown,0,0,1,0,0,0,0,0,2016,Fumbles
17,New England Patriots,Patrick Chung,0,0,0,1,0,1,0,0,2016,Fumbles
18,New England Patriots,Jonathan Freeny,0,0,1,0,0,0,0,0,2016,Fumbles
19,New England Patriots,Duron Harmon,0,0,1,0,1,1,0,0,2016,Fumbles
20,New England Patriots,Kyle Van Noy,0,0,1,0,0,0,0,0,2016,Fumbles
21,New England Patriots,Joe Thuney,0,0,0,1,0,1,0,0,2016,Fumbles
22,New England Patriots,Logan Ryan,0,0,1,0,0,0,0,0,2016,Fumbles
23,New England Patriots,Elandon Roberts,0,0,1,0,0,0,0,0,2016,Fumbles
24,New England Patriots,Jordan Richards,0,0,0,0,1,1,0,0,2016,Fumbles
25,New England Patriots,Rob Ninkovich,0,0,1,0,0,0,0,0,2016,Fumbles
26,New England Patriots,Devin McCourty,0,0,1,0,1,1,3,0,2016,Fumbles
27,New England Patriots,Shea McClellin,0,0,0,1,1,2,69,0,2016,Fumbles
28,New England Patriots,Chris Long,0,0,1,0,1,1,0,0,2016,Fumbles
29,New England Patriots,Jonathan Jones,0,0,1,0,1,1,0,0,2016,Fumbles
30,New England Patriots,Dont'a Hightower,0,0,1,0,0,0,0,0,2016,Fumbles
31,New England Patriots,James White,0,0,0,1,0,1,0,0,2016,Fumbles
