,Team,Player,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,Season,Type
19,Philadelphia Eagles,Jordan Hicks,5,41,8.20,34,34,0,58,27,85,1.0,2016,Defense
20,Philadelphia Eagles,Josh Huff,0,0,0.00,0,0,0,2,1,3,0.0,2016,Defense
21,Philadelphia Eagles,Malcolm Jenkins,3,98,32.67,64t,64t,2,47,25,72,1.0,2016,Defense
22,Philadelphia Eagles,Mychal Kendricks,0,0,0.00,0,0,0,23,9,32,0.0,2016,Defense
23,Philadelphia Eagles,Bennie Logan,0,0,0.00,0,0,0,16,8,24,2.5,2016,Defense
24,Philadelphia Eagles,Chris Maragos,0,0,0.00,0,0,0,10,2,12,0.0,2016,Defense
25,Philadelphia Eagles,Ryan Mathews,0,0,0.00,0,0,0,1,0,1,0.0,2016,Defense
26,Philadelphia Eagles,Jordan Matthews,0,0,0.00,0,0,0,1,0,1,0.0,2016,Defense
27,Philadelphia Eagles,Leodis McKelvin,2,29,14.50,29t,29t,1,32,11,43,0.0,2016,Defense
28,Philadelphia Eagles,Rodney McLeod,3,5,1.67,5,5,0,72,11,83,1.0,2016,Defense
29,Philadelphia Eagles,Steven Means,0,0,0.00,0,0,0,2,1,3,1.0,2016,Defense
30,Philadelphia Eagles,Jalen Mills,0,0,0.00,0,0,0,52,10,62,0.0,2016,Defense
31,Philadelphia Eagles,Wendell Smallwood,0,0,0.00,0,0,0,2,1,3,0.0,2016,Defense
32,Philadelphia Eagles,CJ Smith,0,0,0.00,0,0,0,1,0,1,0.0,2016,Defense
33,Philadelphia Eagles,Marcus Smith,0,0,0.00,0,0,0,12,4,16,2.5,2016,Defense
34,Philadelphia Eagles,Darren Sproles,0,0,0.00,0,0,0,2,0,2,0.0,2016,Defense
35,Philadelphia Eagles,Bryce Treggs,0,0,0.00,0,0,0,1,0,1,0.0,2016,Defense
36,Philadelphia Eagles,Stephen Tulloch,0,0,0.00,0,0,0,7,0,7,0.0,2016,Defense
37,Philadelphia Eagles,Destiny Vaeao,0,0,0.00,0,0,0,9,6,15,2.0,2016,Defense
38,Philadelphia Eagles,Halapoulivaati Vaitai,0,0,0.00,0,0,0,1,0,1,0.0,2016,Defense
39,Philadelphia Eagles,Jaylen Watkins,0,0,0.00,0,0,0,24,8,32,0.0,2016,Defense
40,Philadelphia Eagles,Carson Wentz,0,0,0.00,0,0,0,3,1,4,0.0,2016,Defense
41,Philadelphia Eagles,Stefen Wisniewski,0,0,0.00,0,0,0,0,1,1,0.0,2016,Defense
0,Philadelphia Eagles,David Akers,0,0,0.00,0,0,0,5,0,5,0.0,2001,Defense
1,Philadelphia Eagles,Mike Bartrum,0,0,0.00,0,0,0,5,3,8,0.0,2001,Defense
2,Philadelphia Eagles,Na Brown,0,0,0.00,0,0,0,2,0,2,0.0,2001,Defense
3,Philadelphia Eagles,Correll Buckhalter,0,0,0.00,0,0,0,7,0,7,0.0,2001,Defense
4,Philadelphia Eagles,Derrick Burgess,0,0,0.00,0,0,0,25,7,32,6.0,2001,Defense
5,Philadelphia Eagles,Mike Caldwell,0,0,0.00,0,0,0,77,24,101,3.0,2001,Defense
6,Philadelphia Eagles,Quinton Caver,0,0,0.00,0,0,0,8,3,11,0.0,2001,Defense
7,Philadelphia Eagles,Rashard Cook,1,11,11.00,11,11,0,24,4,28,1.0,2001,Defense
8,Philadelphia Eagles,Darrel Crutchfield,0,0,0.00,0,0,0,1,1,2,0.0,2001,Defense
9,Philadelphia Eagles,Brian Dawkins,2,15,7.50,15,15,0,58,12,70,1.5,2001,Defense
10,Philadelphia Eagles,Dameane Douglas,0,0,0.00,0,0,0,13,2,15,0.0,2001,Defense
11,Philadelphia Eagles,Hugh Douglas,0,0,0.00,0,0,0,39,8,47,9.5,2001,Defense
12,Philadelphia Eagles,Carlos Emmons,0,0,0.00,0,0,0,61,18,79,1.0,2001,Defense
13,Philadelphia Eagles,Hank Fraley,0,0,0.00,0,0,0,2,0,2,0.0,2001,Defense
