,Team,Player,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,Season,Type
10,Philadelphia Eagles,Todd France,0,0,0.00,0,0,0,1,0,1,0.0,2005,Defense
11,Philadelphia Eagles,Lamar Gordon,0,0,0.00,0,0,0,1,0,1,0.0,2005,Defense
12,Philadelphia Eagles,Paul Grasmanis,0,0,0.00,0,0,0,1,0,1,0.0,2005,Defense
13,Philadelphia Eagles,Todd Herremans,0,0,0.00,0,0,0,1,0,1,0.0,2005,Defense
14,Philadelphia Eagles,Artis Hicks,0,0,0.00,0,0,0,1,0,1,0.0,2005,Defense
15,Philadelphia Eagles,Roderick Hood,3,17,5.67,17,17,0,40,2,42,0.0,2005,Defense
16,Philadelphia Eagles,Alonzo Jackson,0,0,0.00,0,0,0,2,0,2,0.0,2005,Defense
17,Philadelphia Eagles,Jamaal Jackson,0,0,0.00,0,0,0,1,0,1,0.0,2005,Defense
18,Philadelphia Eagles,Dirk Johnson,0,0,0.00,0,0,0,1,0,1,0.0,2005,Defense
19,Philadelphia Eagles,Dhani Jones,1,0,0.00,0,0,0,56,14,70,0.0,2005,Defense
20,Philadelphia Eagles,Ndukwe Kalu,0,0,0.00,0,0,0,26,4,30,2.0,2005,Defense
21,Philadelphia Eagles,Jevon Kearse,0,0,0.00,0,0,0,36,3,39,7.5,2005,Defense
22,Philadelphia Eagles,Mike Labinjo,0,0,0.00,0,0,0,6,0,6,0.0,2005,Defense
23,Philadelphia Eagles,Greg Lewis,0,0,0.00,0,0,0,1,0,1,0.0,2005,Defense
24,Philadelphia Eagles,Michael Lewis,2,13,6.50,13,13,0,92,14,106,1.0,2005,Defense
25,Philadelphia Eagles,Reno Mahe,0,0,0.00,0,0,0,5,2,7,0.0,2005,Defense
26,Philadelphia Eagles,Keyonta Marshall,0,0,0.00,0,0,0,0,1,1,0.0,2005,Defense
27,Philadelphia Eagles,Darnerian McCants,0,0,0.00,0,0,0,4,0,4,0.0,2005,Defense
28,Philadelphia Eagles,Matt McCoy,0,0,0.00,0,0,0,2,1,3,0.0,2005,Defense
29,Philadelphia Eagles,Billy McMullen,0,0,0.00,0,0,0,3,1,4,0.0,2005,Defense
30,Philadelphia Eagles,Quintin Mikell,0,0,0.00,0,0,0,21,3,24,0.0,2005,Defense
31,Philadelphia Eagles,Ryan Moats,0,0,0.00,0,0,0,3,1,4,0.0,2005,Defense
32,Philadelphia Eagles,Zeke Moreno,0,0,0.00,0,0,0,2,3,5,0.0,2005,Defense
33,Philadelphia Eagles,Nick Murphy,0,0,0.00,0,0,0,1,0,1,0.0,2005,Defense
34,Philadelphia Eagles,Terrell Owens,0,0,0.00,0,0,0,2,0,2,0.0,2005,Defense
35,Philadelphia Eagles,Juqua Parker,0,0,0.00,0,0,0,16,3,19,0.0,2005,Defense
36,Philadelphia Eagles,Mike Patterson,0,0,0.00,0,0,0,38,7,45,3.5,2005,Defense
37,Philadelphia Eagles,Bruce Perry,0,0,0.00,0,0,0,1,0,1,0.0,2005,Defense
38,Philadelphia Eagles,Sam Rayburn,0,0,0.00,0,0,0,14,2,16,1.0,2005,Defense
39,Philadelphia Eagles,Dedrick Roper,0,0,0.00,0,0,0,4,3,7,0.0,2005,Defense
40,Philadelphia Eagles,Jon Runyan,0,0,0.00,0,0,0,2,0,2,0.0,2005,Defense
41,Philadelphia Eagles,Lito Sheppard,3,72,24.00,34,34,0,28,4,32,1.0,2005,Defense
42,Philadelphia Eagles,Jason Short,0,0,0.00,0,0,0,4,1,5,0.0,2005,Defense
43,Philadelphia Eagles,Mark Simoneau,0,0,0.00,0,0,0,28,9,37,0.0,2005,Defense
44,Philadelphia Eagles,L.J. Smith,0,0,0.00,0,0,0,6,0,6,0.0,2005,Defense
45,Philadelphia Eagles,Stephen Spach,0,0,0.00,0,0,0,2,0,2,0.0,2005,Defense
46,Philadelphia Eagles,Donald Strickland,0,0,0.00,0,0,0,11,2,13,0.0,2005,Defense
47,Philadelphia Eagles,Hollis Thomas,0,0,0.00,0,0,0,27,8,35,0.0,2005,Defense
48,Philadelphia Eagles,Tra Thomas,0,0,0.00,0,0,0,1,0,1,0.0,2005,Defense
49,Philadelphia Eagles,Jeremiah Trotter,1,2,2.00,2,2,0,102,19,121,1.0,2005,Defense
50,Philadelphia Eagles,Darwin Walker,0,0,0.00,0,0,0,21,5,26,2.5,2005,Defense
51,Philadelphia Eagles,Matt Ware,0,0,0.00,0,0,0,15,5,20,0.0,2005,Defense
52,Philadelphia Eagles,Brian Westbrook,0,0,0.00,0,0,0,2,0,2,0.0,2005,Defense
0,Philadelphia Eagles,David Akers,0,0,0.00,0,0,0,2,0,2,0.0,2006,Defense
1,Philadelphia Eagles,Jason Avant,0,0,0.00,0,0,0,4,0,4,0.0,2006,Defense
2,Philadelphia Eagles,Shawn Barber,0,0,0.00,0,0,0,33,17,50,0.0,2006,Defense
3,Philadelphia Eagles,Mike Bartrum,0,0,0.00,0,0,0,2,2,4,0.0,2006,Defense
4,Philadelphia Eagles,Hank Baskett,0,0,0.00,0,0,0,3,0,3,0.0,2006,Defense
5,Philadelphia Eagles,Sheldon Brown,1,70,70.00,70t,70t,1,37,15,52,0.0,2006,Defense
6,Philadelphia Eagles,Correll Buckhalter,0,0,0.00,0,0,0,2,0,2,0.0,2006,Defense
7,Philadelphia Eagles,Brodrick Bunkley,0,0,0.00,0,0,0,6,3,9,0.0,2006,Defense
8,Philadelphia Eagles,Trent Cole,1,19,19.00,19t,19t,1,43,19,62,8.0,2006,Defense
9,Philadelphia Eagles,Sean Considine,1,12,12.00,12,12,0,60,26,86,1.5,2006,Defense
10,Philadelphia Eagles,Torrance Daniels,0,0,0.00,0,0,0,5,0,5,0.0,2006,Defense
11,Philadelphia Eagles,Brian Dawkins,4,38,9.50,38,38,0,76,22,98,1.0,2006,Defense
12,Philadelphia Eagles,Jon Dorenbos,0,0,0.00,0,0,0,1,0,1,0.0,2006,Defense
13,Philadelphia Eagles,A.J. Feeley,0,0,0.00,0,0,0,1,0,1,0.0,2006,Defense
14,Philadelphia Eagles,Dustin Fox,0,0,0.00,0,0,0,1,0,1,0.0,2006,Defense
15,Philadelphia Eagles,Omar Gaither,1,16,16.00,16,16,0,51,13,64,1.0,2006,Defense
16,Philadelphia Eagles,Joselio Hanson,0,0,0.00,0,0,0,26,9,35,0.0,2006,Defense
17,Philadelphia Eagles,Todd Herremans,0,0,0.00,0,0,0,2,0,2,0.0,2006,Defense
18,Philadelphia Eagles,Roderick Hood,0,0,0.00,0,0,0,17,4,21,1.0,2006,Defense
19,Philadelphia Eagles,Darren Howard,0,0,0.00,0,0,0,23,12,35,5.0,2006,Defense
20,Philadelphia Eagles,Jamaal Jackson,0,0,0.00,0,0,0,1,0,1,0.0,2006,Defense
21,Philadelphia Eagles,William James,0,0,0.00,0,0,0,6,1,7,0.0,2006,Defense
22,Philadelphia Eagles,Dirk Johnson,0,0,0.00,0,0,0,1,0,1,0.0,2006,Defense
23,Philadelphia Eagles,Dhani Jones,0,0,0.00,0,0,0,55,21,76,0.5,2006,Defense
24,Philadelphia Eagles,Jevon Kearse,0,0,0.00,0,0,0,3,1,4,3.5,2006,Defense
25,Philadelphia Eagles,Greg Lewis,0,0,0.00,0,0,0,4,1,5,0.0,2006,Defense
26,Philadelphia Eagles,Michael Lewis,2,105,52.50,84t,84t,1,43,15,58,2.0,2006,Defense
27,Philadelphia Eagles,Reno Mahe,0,0,0.00,0,0,0,3,1,4,0.0,2006,Defense
28,Philadelphia Eagles,Matt McCoy,0,0,0.00,0,0,0,57,12,69,2.0,2006,Defense
29,Philadelphia Eagles,Jerome McDougle,0,0,0.00,0,0,0,11,2,13,1.0,2006,Defense
30,Philadelphia Eagles,Quintin Mikell,0,0,0.00,0,0,0,31,11,42,0.0,2006,Defense
31,Philadelphia Eagles,Ryan Moats,0,0,0.00,0,0,0,4,1,5,0.0,2006,Defense
32,Philadelphia Eagles,Juqua Parker,0,0,0.00,0,0,0,19,7,26,6.0,2006,Defense
33,Philadelphia Eagles,Mike Patterson,0,0,0.00,0,0,0,38,14,52,1.5,2006,Defense
34,Philadelphia Eagles,Bruce Perry,0,0,0.00,0,0,0,1,0,1,0.0,2006,Defense
35,Philadelphia Eagles,LaJuan Ramsey,1,-12,-12.00,-12,-12,0,5,0,5,0.0,2006,Defense
36,Philadelphia Eagles,Sam Rayburn,0,0,0.00,0,0,0,10,2,12,0.0,2006,Defense
37,Philadelphia Eagles,Dedrick Roper,0,0,0.00,0,0,0,2,3,5,0.0,2006,Defense
38,Philadelphia Eagles,Lito Sheppard,6,157,26.17,102t,102t,1,25,5,30,0.0,2006,Defense
39,Philadelphia Eagles,Jason Short,0,0,0.00,0,0,0,4,0,4,0.0,2006,Defense
40,Philadelphia Eagles,Donte' Stallworth,0,0,0.00,0,0,0,2,0,2,0.0,2006,Defense
41,Philadelphia Eagles,Thomas Tapeh,0,0,0.00,0,0,0,1,2,3,0.0,2006,Defense
42,Philadelphia Eagles,Jeremiah Trotter,1,17,17.00,17,17,0,88,25,113,0.0,2006,Defense
43,Philadelphia Eagles,Darwin Walker,1,6,6.00,6,6,0,27,9,36,6.0,2006,Defense
44,Philadelphia Eagles,Brian Westbrook,0,0,0.00,0,0,0,1,0,1,0.0,2006,Defense
0,Philadelphia Eagles,Victor Abiamiri,0,0,0.00,0,0,0,2,1,3,0.0,2007,Defense
1,Philadelphia Eagles,David Akers,0,0,0.00,0,0,0,1,0,1,0.0,2007,Defense
2,Philadelphia Eagles,Shawn Andrews,0,0,0.00,0,0,0,1,0,1,0.0,2007,Defense
3,Philadelphia Eagles,Jason Avant,0,0,0.00,0,0,0,8,4,12,0.0,2007,Defense
4,Philadelphia Eagles,Hank Baskett,0,0,0.00,0,0,0,4,1,5,0.0,2007,Defense
5,Philadelphia Eagles,Stewart Bradley,1,13,13.00,13,13,0,14,4,18,1.0,2007,Defense
6,Philadelphia Eagles,Reggie Brown,0,0,0.00,0,0,0,5,0,5,0.0,2007,Defense
7,Philadelphia Eagles,Sheldon Brown,3,3,1.00,3,3,0,61,7,68,0.0,2007,Defense
8,Philadelphia Eagles,Brodrick Bunkley,0,0,0.00,0,0,0,25,7,32,3.0,2007,Defense
9,Philadelphia Eagles,Brent Celek,0,0,0.00,0,0,0,3,1,4,0.0,2007,Defense
10,Philadelphia Eagles,Trent Cole,0,0,0.00,0,0,0,49,21,70,12.5,2007,Defense
11,Philadelphia Eagles,Sean Considine,1,0,0.00,0,0,0,27,9,36,0.0,2007,Defense
12,Philadelphia Eagles,Kevin Curtis,0,0,0.00,0,0,0,2,0,2,0.0,2007,Defense
13,Philadelphia Eagles,Brian Dawkins,1,1,1.00,1,1,0,28,9,37,0.0,2007,Defense
14,Philadelphia Eagles,Jon Dorenbos,0,0,0.00,0,0,0,3,1,4,0.0,2007,Defense
15,Philadelphia Eagles,Omar Gaither,1,49,49.00,49,49,0,70,32,102,0.0,2007,Defense
16,Philadelphia Eagles,Chris Gocong,0,0,0.00,0,0,0,51,15,66,1.0,2007,Defense
17,Philadelphia Eagles,Nick Graham,0,0,0.00,0,0,0,8,4,12,0.0,2007,Defense
18,Philadelphia Eagles,Joselio Hanson,0,0,0.00,0,0,0,46,7,53,1.0,2007,Defense
19,Philadelphia Eagles,Todd Herremans,0,0,0.00,0,0,0,1,0,1,0.0,2007,Defense
20,Philadelphia Eagles,Darren Howard,0,0,0.00,0,0,0,5,3,8,1.0,2007,Defense
21,Philadelphia Eagles,Jamaal Jackson,0,0,0.00,0,0,0,1,0,1,0.0,2007,Defense
22,Philadelphia Eagles,William James,1,0,0.00,0,0,0,24,6,30,0.0,2007,Defense
23,Philadelphia Eagles,Max Jean-Gilles,0,0,0.00,0,0,0,1,0,1,0.0,2007,Defense
24,Philadelphia Eagles,Akeem Jordan,0,0,0.00,0,0,0,17,3,20,0.0,2007,Defense
25,Philadelphia Eagles,Jevon Kearse,0,0,0.00,0,0,0,8,4,12,3.5,2007,Defense
26,Philadelphia Eagles,Greg Lewis,0,0,0.00,0,0,0,2,0,2,0.0,2007,Defense
27,Philadelphia Eagles,Reno Mahe,0,0,0.00,0,0,0,2,4,6,0.0,2007,Defense
28,Philadelphia Eagles,Matt McCoy,0,0,0.00,0,0,0,5,2,7,0.0,2007,Defense
29,Philadelphia Eagles,Donovan McNabb,0,0,0.00,0,0,0,1,0,1,0.0,2007,Defense
30,Philadelphia Eagles,Quintin Mikell,1,20,20.00,20,20,0,54,21,75,1.0,2007,Defense
31,Philadelphia Eagles,Juqua Parker,0,0,0.00,0,0,0,29,10,39,5.0,2007,Defense
32,Philadelphia Eagles,Marcus Paschal,0,0,0.00,0,0,0,0,1,1,0.0,2007,Defense
33,Philadelphia Eagles,Mike Patterson,0,0,0.00,0,0,0,49,17,66,4.0,2007,Defense
34,Philadelphia Eagles,LaJuan Ramsey,0,0,0.00,0,0,0,1,0,1,0.0,2007,Defense
35,Philadelphia Eagles,Montae Reagor,0,0,0.00,0,0,0,2,0,2,1.0,2007,Defense
36,Philadelphia Eagles,J.R. Reed,0,0,0.00,0,0,0,26,5,31,0.0,2007,Defense
37,Philadelphia Eagles,Saverio Rocca,0,0,0.00,0,0,0,2,0,2,0.0,2007,Defense
38,Philadelphia Eagles,Jon Runyan,0,0,0.00,0,0,0,1,0,1,0.0,2007,Defense
39,Philadelphia Eagles,Lito Sheppard,2,25,12.50,16,16,0,47,4,51,0.0,2007,Defense
40,Philadelphia Eagles,Takeo Spikes,0,0,0.00,0,0,0,63,22,85,1.0,2007,Defense
41,Philadelphia Eagles,Thomas Tapeh,0,0,0.00,0,0,0,2,0,2,0.0,2007,Defense
42,Philadelphia Eagles,Tra Thomas,0,0,0.00,0,0,0,1,0,1,0.0,2007,Defense
43,Philadelphia Eagles,Pago Togafau,0,0,0.00,0,0,0,5,0,5,0.0,2007,Defense
44,Philadelphia Eagles,Kimo von Oelhoffen,0,0,0.00,0,0,0,1,1,2,0.0,2007,Defense
45,Philadelphia Eagles,Brian Westbrook,0,0,0.00,0,0,0,3,0,3,0.0,2007,Defense
0,Philadelphia Eagles,Victor Abiamiri,0,0,0.00,0,0,0,5,6,11,2.0,2008,Defense
1,Philadelphia Eagles,David Akers,0,0,0.00,0,0,0,1,0,1,0.0,2008,Defense
2,Philadelphia Eagles,Jason Avant,0,0,0.00,0,0,0,4,0,4,0.0,2008,Defense
3,Philadelphia Eagles,Hank Baskett,0,0,0.00,0,0,0,2,0,2,0.0,2008,Defense
4,Philadelphia Eagles,Stewart Bradley,1,17,17.00,17,17,0,86,22,108,1.0,2008,Defense
5,Philadelphia Eagles,Sheldon Brown,1,23,23.00,23,23,0,42,9,51,1.0,2008,Defense
6,Philadelphia Eagles,Correll Buckhalter,0,0,0.00,0,0,0,1,0,1,0.0,2008,Defense
7,Philadelphia Eagles,Brodrick Bunkley,0,0,0.00,0,0,0,34,13,47,2.0,2008,Defense
8,Philadelphia Eagles,Chris Clemons,0,0,0.00,0,0,0,12,3,15,4.0,2008,Defense
9,Philadelphia Eagles,Nick Cole,0,0,0.00,0,0,0,1,0,1,0.0,2008,Defense
10,Philadelphia Eagles,Trent Cole,0,0,0.00,0,0,0,59,18,77,9.0,2008,Defense
11,Philadelphia Eagles,Sean Considine,0,0,0.00,0,0,0,23,7,30,0.0,2008,Defense
12,Philadelphia Eagles,Kevin Curtis,0,0,0.00,0,0,0,1,0,1,0.0,2008,Defense
13,Philadelphia Eagles,Torrance Daniels,0,0,0.00,0,0,0,12,2,14,0.0,2008,Defense
14,Philadelphia Eagles,Brian Dawkins,1,25,25.00,25,25,0,64,11,75,3.0,2008,Defense
15,Philadelphia Eagles,Quintin Demps,0,0,0.00,0,0,0,16,2,18,1.0,2008,Defense
16,Philadelphia Eagles,Kyle Eckel,0,0,0.00,0,0,0,1,0,1,0.0,2008,Defense
17,Philadelphia Eagles,Omar Gaither,0,0,0.00,0,0,0,51,8,59,2.5,2008,Defense
18,Philadelphia Eagles,Chris Gocong,0,0,0.00,0,0,0,43,16,59,2.0,2008,Defense
19,Philadelphia Eagles,Joselio Hanson,1,13,13.00,13,13,0,27,11,38,1.0,2008,Defense
20,Philadelphia Eagles,Todd Herremans,0,0,0.00,0,0,0,1,0,1,0.0,2008,Defense
21,Philadelphia Eagles,Darren Howard,1,8,8.00,8,8,0,21,5,26,10.0,2008,Defense
22,Philadelphia Eagles,Tony Hunt,0,0,0.00,0,0,0,2,0,2,0.0,2008,Defense
23,Philadelphia Eagles,DeSean Jackson,0,0,0.00,0,0,0,2,0,2,0.0,2008,Defense
24,Philadelphia Eagles,Jamaal Jackson,0,0,0.00,0,0,0,1,0,1,0.0,2008,Defense
25,Philadelphia Eagles,Akeem Jordan,0,0,0.00,0,0,0,53,9,62,0.0,2008,Defense
26,Philadelphia Eagles,Dan Klecko,0,0,0.00,0,0,0,4,0,4,2.0,2008,Defense
27,Philadelphia Eagles,Trevor Laws,0,0,0.00,0,0,0,11,1,12,0.0,2008,Defense
28,Philadelphia Eagles,Greg Lewis,0,0,0.00,0,0,0,1,0,1,0.0,2008,Defense
29,Philadelphia Eagles,Donovan McNabb,0,0,0.00,0,0,0,2,0,2,0.0,2008,Defense
30,Philadelphia Eagles,Quintin Mikell,3,53,17.67,41,41,0,68,25,93,2.0,2008,Defense
31,Philadelphia Eagles,Juqua Parker,1,55,55.00,55t,55t,1,33,12,45,5.0,2008,Defense
32,Philadelphia Eagles,Mike Patterson,1,21,21.00,21,21,0,28,14,42,0.5,2008,Defense
33,Philadelphia Eagles,J.R. Reed,0,0,0.00,0,0,0,3,0,3,0.0,2008,Defense
34,Philadelphia Eagles,Saverio Rocca,0,0,0.00,0,0,0,1,0,1,0.0,2008,Defense
35,Philadelphia Eagles,Jon Runyan,0,0,0.00,0,0,0,3,0,3,0.0,2008,Defense
36,Philadelphia Eagles,Asante Samuel,4,64,16.00,50t,50t,1,32,4,36,0.0,2008,Defense
37,Philadelphia Eagles,Lito Sheppard,1,0,0.00,0,0,0,18,3,21,0.0,2008,Defense
38,Philadelphia Eagles,L.J. Smith,0,0,0.00,0,0,0,2,0,2,0.0,2008,Defense
0,Philadelphia Eagles,Victor Abiamiri,0,0,0.00,0,0,0,13,3,16,2.0,2009,Defense
1,Philadelphia Eagles,David Akers,0,0,0.00,0,0,0,2,0,2,0.0,2009,Defense
2,Philadelphia Eagles,Jason Avant,0,0,0.00,0,0,0,3,0,3,0.0,2009,Defense
3,Philadelphia Eagles,Jason Babin,0,0,0.00,0,0,0,11,5,16,2.5,2009,Defense
4,Philadelphia Eagles,Reggie Brown,0,0,0.00,0,0,0,1,0,1,0.0,2009,Defense
5,Philadelphia Eagles,Sheldon Brown,5,152,30.40,83t,83t,1,43,8,51,0.0,2009,Defense
6,Philadelphia Eagles,Eldra Buckley,0,0,0.00,0,0,0,12,1,13,0.0,2009,Defense
7,Philadelphia Eagles,Brodrick Bunkley,0,0,0.00,0,0,0,30,7,37,1.0,2009,Defense
8,Philadelphia Eagles,Brent Celek,0,0,0.00,0,0,0,1,0,1,0.0,2009,Defense
9,Philadelphia Eagles,Chris Clemons,0,0,0.00,0,0,0,8,3,11,3.0,2009,Defense
10,Philadelphia Eagles,Trent Cole,0,0,0.00,0,0,0,48,8,56,12.5,2009,Defense
11,Philadelphia Eagles,Kevin Curtis,0,0,0.00,0,0,0,1,0,1,0.0,2009,Defense
12,Philadelphia Eagles,Quintin Demps,1,12,12.00,12,12,0,11,3,14,0.0,2009,Defense
13,Philadelphia Eagles,Antonio Dixon,0,0,0.00,0,0,0,11,4,15,1.0,2009,Defense
14,Philadelphia Eagles,Jon Dorenbos,0,0,0.00,0,0,0,3,0,3,0.0,2009,Defense
15,Philadelphia Eagles,Moise Fokou,0,0,0.00,0,0,0,27,12,39,0.0,2009,Defense
16,Philadelphia Eagles,Omar Gaither,0,0,0.00,0,0,0,24,6,30,1.5,2009,Defense
17,Philadelphia Eagles,Chris Gocong,0,0,0.00,0,0,0,35,9,44,1.0,2009,Defense
18,Philadelphia Eagles,Joselio Hanson,2,8,4.00,6,6,0,36,11,47,0.5,2009,Defense
19,Philadelphia Eagles,Victor Harris,0,0,0.00,0,0,0,38,3,41,0.0,2009,Defense
20,Philadelphia Eagles,Todd Herremans,0,0,0.00,0,0,0,1,0,1,0.0,2009,Defense
21,Philadelphia Eagles,Ellis Hobbs,0,0,0.00,0,0,0,8,3,11,0.0,2009,Defense
22,Philadelphia Eagles,Darren Howard,0,0,0.00,0,0,0,22,2,24,6.5,2009,Defense
23,Philadelphia Eagles,DeSean Jackson,0,0,0.00,0,0,0,2,0,2,0.0,2009,Defense
24,Philadelphia Eagles,Jamaal Jackson,0,0,0.00,0,0,0,1,0,1,0.0,2009,Defense
25,Philadelphia Eagles,Sean Jones,2,37,18.50,37,37,0,45,17,62,1.0,2009,Defense
26,Philadelphia Eagles,Akeem Jordan,2,14,7.00,11,11,0,60,11,71,1.0,2009,Defense
27,Philadelphia Eagles,Winston Justice,0,0,0.00,0,0,0,1,0,1,0.0,2009,Defense
28,Philadelphia Eagles,Trevor Laws,0,0,0.00,0,0,0,6,4,10,0.0,2009,Defense
29,Philadelphia Eagles,Jeremy Maclin,0,0,0.00,0,0,0,2,0,2,0.0,2009,Defense
30,Philadelphia Eagles,Joe Mays,0,0,0.00,0,0,0,17,1,18,0.0,2009,Defense
31,Philadelphia Eagles,LeSean McCoy,0,0,0.00,0,0,0,1,0,1,0.0,2009,Defense
32,Philadelphia Eagles,Donovan McNabb,0,0,0.00,0,0,0,1,0,1,0.0,2009,Defense
33,Philadelphia Eagles,Quintin Mikell,2,16,8.00,16,16,0,69,21,90,0.0,2009,Defense
34,Philadelphia Eagles,Juqua Parker,0,0,0.00,0,0,0,30,4,34,8.0,2009,Defense
35,Philadelphia Eagles,Dimitri Patterson,0,0,0.00,0,0,0,15,2,17,0.0,2009,Defense
36,Philadelphia Eagles,Mike Patterson,0,0,0.00,0,0,0,42,13,55,1.5,2009,Defense
37,Philadelphia Eagles,Jason Peters,0,0,0.00,0,0,0,3,0,3,0.0,2009,Defense
38,Philadelphia Eagles,Geoffrey Pope,0,0,0.00,0,0,0,1,1,2,0.0,2009,Defense
39,Philadelphia Eagles,Ramzee Robinson,0,0,0.00,0,0,0,2,1,3,0.0,2009,Defense
40,Philadelphia Eagles,Asante Samuel,9,117,13.00,37,37,0,39,1,40,0.0,2009,Defense
41,Philadelphia Eagles,Jeremiah Trotter,0,0,0.00,0,0,0,29,3,32,0.0,2009,Defense
42,Philadelphia Eagles,Leonard Weaver,0,0,0.00,0,0,0,3,2,5,0.0,2009,Defense
43,Philadelphia Eagles,Tracy White,1,5,5.00,5,5,0,27,9,36,0.0,2009,Defense
44,Philadelphia Eagles,Will Witherspoon,1,9,9.00,9t,9t,1,51,7,58,1.0,2009,Defense
0,Philadelphia Eagles,Jamar Adams,0,0,0.00,0,0,0,2,1,3,0.0,2010,Defense
1,Philadelphia Eagles,David Akers,0,0,0.00,0,0,0,1,1,2,0.0,2010,Defense
2,Philadelphia Eagles,Nate Allen,3,27,9.00,16,16,0,42,6,48,2.0,2010,Defense
3,Philadelphia Eagles,Colt Anderson,0,0,0.00,0,0,0,17,0,17,0.0,2010,Defense
4,Philadelphia Eagles,Jason Avant,0,0,0.00,0,0,0,4,0,4,0.0,2010,Defense
5,Philadelphia Eagles,Antwan Barnes,0,0,0.00,0,0,0,3,0,3,0.0,2010,Defense
6,Philadelphia Eagles,Stewart Bradley,1,0,0.00,0,0,0,49,11,60,1.0,2010,Defense
7,Philadelphia Eagles,Eldra Buckley,0,0,0.00,0,0,0,6,0,6,0.0,2010,Defense
8,Philadelphia Eagles,Brodrick Bunkley,0,0,0.00,0,0,0,17,3,20,0.0,2010,Defense
9,Philadelphia Eagles,Jorrick Calvin,0,0,0.00,0,0,0,1,0,1,0.0,2010,Defense
10,Philadelphia Eagles,Jamar Chaney,0,0,0.00,0,0,0,33,9,42,0.0,2010,Defense
11,Philadelphia Eagles,Keenan Clayton,0,0,0.00,0,0,0,9,3,12,0.0,2010,Defense
12,Philadelphia Eagles,Trent Cole,0,0,0.00,0,0,0,50,15,65,10.0,2010,Defense
13,Philadelphia Eagles,Kurt Coleman,1,7,7.00,7,7,0,31,5,36,0.0,2010,Defense
14,Philadelphia Eagles,Riley Cooper,0,0,0.00,0,0,0,3,0,3,0.0,2010,Defense
15,Philadelphia Eagles,Antonio Dixon,0,0,0.00,0,0,0,25,5,30,2.0,2010,Defense
16,Philadelphia Eagles,Jon Dorenbos,0,0,0.00,0,0,0,2,1,3,0.0,2010,Defense
17,Philadelphia Eagles,King Dunlap,0,0,0.00,0,0,0,2,0,2,0.0,2010,Defense
18,Philadelphia Eagles,Moise Fokou,0,0,0.00,0,0,0,44,7,51,1.0,2010,Defense
19,Philadelphia Eagles,Omar Gaither,0,0,0.00,0,0,0,32,4,36,0.0,2010,Defense
20,Philadelphia Eagles,Brandon Graham,0,0,0.00,0,0,0,12,1,13,3.0,2010,Defense
21,Philadelphia Eagles,Chad Hall,0,0,0.00,0,0,0,2,0,2,0.0,2010,Defense
22,Philadelphia Eagles,Joselio Hanson,1,17,17.00,17,17,0,31,5,36,0.0,2010,Defense
23,Philadelphia Eagles,Todd Herremans,0,0,0.00,0,0,0,1,0,1,0.0,2010,Defense
24,Philadelphia Eagles,Ellis Hobbs,1,0,0.00,0,0,0,12,4,16,0.0,2010,Defense
25,Philadelphia Eagles,Brandon Hughes,0,0,0.00,0,0,0,5,0,5,0.0,2010,Defense
26,Philadelphia Eagles,DeSean Jackson,0,0,0.00,0,0,0,1,0,1,0.0,2010,Defense
27,Philadelphia Eagles,Max Jean-Gilles,0,0,0.00,0,0,0,1,0,1,0.0,2010,Defense
28,Philadelphia Eagles,Akeem Jordan,0,0,0.00,0,0,0,22,4,26,0.0,2010,Defense
29,Philadelphia Eagles,Kevin Kolb,0,0,0.00,0,0,0,1,0,1,0.0,2010,Defense
30,Philadelphia Eagles,Trevor Laws,1,13,13.00,13,13,0,13,2,15,4.0,2010,Defense
31,Philadelphia Eagles,Trevard Lindley,1,8,8.00,8,8,0,22,1,23,0.0,2010,Defense
32,Philadelphia Eagles,Jeremy Maclin,0,0,0.00,0,0,0,2,0,2,0.0,2010,Defense
33,Philadelphia Eagles,LeSean McCoy,0,0,0.00,0,0,0,1,0,1,0.0,2010,Defense
34,Philadelphia Eagles,Michael McGlynn,0,0,0.00,0,0,0,1,0,1,0.0,2010,Defense
35,Philadelphia Eagles,Quintin Mikell,3,0,0.00,0,0,0,77,11,88,1.0,2010,Defense
36,Philadelphia Eagles,Garrett Mills,0,0,0.00,0,0,0,1,0,1,0.0,2010,Defense
37,Philadelphia Eagles,Juqua Parker,0,0,0.00,0,0,0,19,3,22,6.0,2010,Defense
38,Philadelphia Eagles,Dimitri Patterson,4,40,10.00,40t,40t,1,50,2,52,1.0,2010,Defense
39,Philadelphia Eagles,Mike Patterson,0,0,0.00,0,0,0,30,7,37,2.0,2010,Defense
40,Philadelphia Eagles,Jason Peters,0,0,0.00,0,0,0,2,0,2,0.0,2010,Defense
41,Philadelphia Eagles,Saverio Rocca,0,0,0.00,0,0,0,2,1,3,0.0,2010,Defense
42,Philadelphia Eagles,Asante Samuel,7,70,10.00,33,33,0,22,4,26,0.0,2010,Defense
43,Philadelphia Eagles,Owen Schmitt,0,0,0.00,0,0,0,2,0,2,0.0,2010,Defense
44,Philadelphia Eagles,Ernie Sims,0,0,0.00,0,0,0,48,7,55,2.0,2010,Defense
45,Philadelphia Eagles,Darryl Tapp,0,0,0.00,0,0,0,26,1,27,3.0,2010,Defense
0,Philadelphia Eagles,Nate Allen,2,44,22.00,31,31,0,46,13,59,0.0,2011,Defense
