,Team,Player,Num,Yds,Avg,FC,Lg,TD,Season,Type
3,New England Patriots,Deion Branch,4,26,6.50,1,11,0,2003,Punt Returns
4,New England Patriots,Bethel Johnson,1,2,2.00,0,2,0,2003,Punt Returns
5,New England Patriots,Dedric Ward,0,0,0.00,2,0,0,2003,Punt Returns
0,New England Patriots,Kevin Faulk,20,133,6.65,11,16,0,2004,Punt Returns
1,New England Patriots,Troy Brown,12,83,6.92,3,23,0,2004,Punt Returns
2,New England Patriots,Bethel Johnson,4,8,2.00,1,6,0,2004,Punt Returns
3,New England Patriots,Tyrone Poole,2,6,3.00,0,6,0,2004,Punt Returns
4,New England Patriots,Randall Gay,1,0,0.00,0,0,0,2004,Punt Returns
5,New England Patriots,Deion Branch,1,0,0.00,0,0,0,2004,Punt Returns
0,New England Patriots,Tim Dwight,32,273,8.53,13,29,0,2005,Punt Returns
1,New England Patriots,Troy Brown,7,30,4.29,5,7,0,2005,Punt Returns
2,New England Patriots,Bethel Johnson,1,11,11.00,0,11,0,2005,Punt Returns
0,New England Patriots,Kevin Faulk,31,330,10.65,5,43,0,2006,Punt Returns
1,New England Patriots,Chad Jackson,3,76,25.33,0,39,0,2006,Punt Returns
2,New England Patriots,Troy Brown,2,16,8.00,9,12,0,2006,Punt Returns
0,New England Patriots,Wes Welker,25,249,9.96,7,35,0,2007,Punt Returns
1,New England Patriots,Troy Brown,6,55,9.17,2,28,0,2007,Punt Returns
2,New England Patriots,Chad Jackson,2,7,3.50,0,6,0,2007,Punt Returns
3,New England Patriots,Kevin Faulk,0,0,0.00,9,0,0,2007,Punt Returns
0,New England Patriots,Wes Welker,24,237,9.88,6,44,0,2008,Punt Returns
1,New England Patriots,Kevin Faulk,10,132,13.20,9,24,0,2008,Punt Returns
2,New England Patriots,Deltha O'Neal,2,2,1.00,1,2,0,2008,Punt Returns
0,New England Patriots,Wes Welker,27,338,12.52,16,69,0,2009,Punt Returns
1,New England Patriots,Julian Edelman,6,63,10.50,1,35,0,2009,Punt Returns
2,New England Patriots,Kevin Faulk,5,31,6.20,2,15,0,2009,Punt Returns
0,New England Patriots,Julian Edelman,21,321,15.29,6,94t,1,2010,Punt Returns
1,New England Patriots,Wes Welker,5,36,7.20,7,22,0,2010,Punt Returns
2,New England Patriots,Brandon Tate,1,4,4.00,0,4,0,2010,Punt Returns
3,New England Patriots,Kevin Faulk,0,0,0.00,1,0,0,2010,Punt Returns
0,New England Patriots,Julian Edelman,28,296,10.57,7,72t,1,2011,Punt Returns
1,New England Patriots,Wes Welker,8,82,10.25,6,25,0,2011,Punt Returns
2,New England Patriots,Kevin Faulk,2,11,5.50,0,7,0,2011,Punt Returns
0,New England Patriots,Julian Edelman,17,263,15.47,1,68t,1,2012,Punt Returns
1,New England Patriots,Wes Welker,25,243,9.72,7,31,0,2012,Punt Returns
0,New England Patriots,Julian Edelman,35,374,10.69,23,43,0,2013,Punt Returns
1,New England Patriots,Danny Amendola,1,13,13.00,0,13,0,2013,Punt Returns
0,New England Patriots,Julian Edelman,25,299,11.96,6,84t,1,2014,Punt Returns
1,New England Patriots,Danny Amendola,16,132,8.25,5,39,0,2014,Punt Returns
0,New England Patriots,Danny Amendola,23,276,12.00,12,82,0,2015,Punt Returns
1,New England Patriots,Keshawn Martin,8,92,11.50,3,21,0,2015,Punt Returns
2,New England Patriots,Julian Edelman,10,81,8.10,1,19,0,2015,Punt Returns
3,New England Patriots,Chris Harper,3,17,5.67,2,10,0,2015,Punt Returns
4,New England Patriots,Patrick Chung,1,4,4.00,0,4,0,2015,Punt Returns
5,New England Patriots,Damaris Johnson,2,3,1.50,0,3,0,2015,Punt Returns
0,New England Patriots,Julian Edelman,15,135,9.00,7,23,0,2016,Punt Returns
1,New England Patriots,Danny Amendola,18,121,6.72,7,30,0,2016,Punt Returns
2,New England Patriots,Cyrus Jones,11,46,4.18,3,13,0,2016,Punt Returns
3,New England Patriots,Patrick Chung,1,7,7.00,1,7,0,2016,Punt Returns
