,Team,Player,Num,Yds,Avg,FC,Lg,TD,Season,Type
1,Philadelphia Eagles,Greg Lewis,3,43,14.33,0,31,0,2008,Kickoff Returns
2,Philadelphia Eagles,Correll Buckhalter,1,14,14.00,0,14,0,2008,Kickoff Returns
3,Philadelphia Eagles,Jason Avant,1,13,13.00,0,13,0,2008,Kickoff Returns
4,Philadelphia Eagles,DeSean Jackson,1,12,12.00,0,12,0,2008,Kickoff Returns
5,Philadelphia Eagles,Dan Klecko,1,12,12.00,0,12,0,2008,Kickoff Returns
6,Philadelphia Eagles,Victor Abiamiri,1,3,3.00,0,3,0,2008,Kickoff Returns
0,Philadelphia Eagles,Ellis Hobbs,20,481,24.05,0,63,0,2009,Kickoff Returns
1,Philadelphia Eagles,Victor Harris,19,394,20.74,0,32,0,2009,Kickoff Returns
2,Philadelphia Eagles,Quintin Demps,6,155,25.83,0,48,0,2009,Kickoff Returns
3,Philadelphia Eagles,Jeremy Maclin,7,124,17.71,0,28,0,2009,Kickoff Returns
4,Philadelphia Eagles,Leonard Weaver,2,33,16.50,0,18,0,2009,Kickoff Returns
5,Philadelphia Eagles,Alex Smith,1,4,4.00,0,4,0,2009,Kickoff Returns
6,Philadelphia Eagles,DeSean Jackson,1,0,0.00,0,0,0,2009,Kickoff Returns
7,Philadelphia Eagles,Jason Babin,2,0,0.00,0,0,0,2009,Kickoff Returns
0,Philadelphia Eagles,Jorrick Calvin,32,692,21.62,0,41,0,2010,Kickoff Returns
1,Philadelphia Eagles,Ellis Hobbs,16,345,21.56,0,46,0,2010,Kickoff Returns
2,Philadelphia Eagles,Chad Hall,4,65,16.25,0,21,0,2010,Kickoff Returns
3,Philadelphia Eagles,Gerard Lawson,2,48,24.00,0,28,0,2010,Kickoff Returns
4,Philadelphia Eagles,Jeremy Maclin,1,22,22.00,0,22,0,2010,Kickoff Returns
5,Philadelphia Eagles,Eldra Buckley,1,20,20.00,0,20,0,2010,Kickoff Returns
6,Philadelphia Eagles,Clay Harbor,1,19,19.00,0,19,0,2010,Kickoff Returns
7,Philadelphia Eagles,Owen Schmitt,2,18,9.00,1,18,0,2010,Kickoff Returns
8,Philadelphia Eagles,Dimitri Patterson,1,14,14.00,0,14,0,2010,Kickoff Returns
9,Philadelphia Eagles,Brent Celek,1,12,12.00,0,12,0,2010,Kickoff Returns
10,Philadelphia Eagles,Riley Cooper,0,9,0.00,0,9,0,2010,Kickoff Returns
11,Philadelphia Eagles,Mike Bell,1,8,8.00,0,8,0,2010,Kickoff Returns
0,Philadelphia Eagles,Dion Lewis,31,669,21.58,0,33,0,2011,Kickoff Returns
1,Philadelphia Eagles,Dominique Rodgers-Cromartie,2,52,26.00,0,29,0,2011,Kickoff Returns
2,Philadelphia Eagles,Chad Hall,2,43,21.50,0,24,0,2011,Kickoff Returns
3,Philadelphia Eagles,Ronnie Brown,2,28,14.00,0,25,0,2011,Kickoff Returns
4,Philadelphia Eagles,Riley Cooper,1,16,16.00,0,16,0,2011,Kickoff Returns
5,Philadelphia Eagles,DeSean Jackson,1,7,7.00,0,7,0,2011,Kickoff Returns
0,Philadelphia Eagles,Brandon Boykin,45,"1,037",23.04,0,44,0,2012,Kickoff Returns
1,Philadelphia Eagles,Bryce Brown,8,156,19.50,0,25,0,2012,Kickoff Returns
2,Philadelphia Eagles,Dion Lewis,1,33,33.00,0,33,0,2012,Kickoff Returns
3,Philadelphia Eagles,Stanley Havili,2,18,9.00,0,18,0,2012,Kickoff Returns
4,Philadelphia Eagles,Riley Cooper,1,14,14.00,0,14,0,2012,Kickoff Returns
5,Philadelphia Eagles,Akeem Jordan,1,1,1.00,0,1,0,2012,Kickoff Returns
6,Philadelphia Eagles,Cedric Thornton,1,0,0.00,0,0,0,2012,Kickoff Returns
7,Philadelphia Eagles,Chris Polk,1,0,0.00,0,0,0,2012,Kickoff Returns
0,Philadelphia Eagles,Damaris Johnson,17,441,25.94,0,33,0,2013,Kickoff Returns
