,Team,Player,Att,Cmp,Pct,Yds,YPA,TD,TD_pct,Int,Int_pct,Lg,Sack,Loss,Rate,Season
0,Philadelphia Eagles,Brian Mitchell,,,,335,,1,,,,72t,,,,2000
1,Philadelphia Eagles,Jason Bostic,,,,0,,0,,,,0,,,,2000
