,Team,Player,Tot,R,P,KR,PR,IR,FR,BK,BP,FGR,PAT,FG,Conv,Saf,Pts,Season,Type
7,Philadelphia Eagles,Dorsey Levens,2,1,1,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2002,Scoring
8,Philadelphia Eagles,Jeff Thomason,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2002,Scoring
9,Philadelphia Eagles,Carlos Emmons,1,0,0,0,0,0,1,0,0,0,0/0,0/0,0,0,6,2002,Scoring
10,Philadelphia Eagles,Bobby Taylor,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2002,Scoring
11,Philadelphia Eagles,Koy Detmer,1,1,0,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2002,Scoring
12,Philadelphia Eagles,Brian Dawkins,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2002,Scoring
13,Philadelphia Eagles,Brian Mitchell,1,0,0,0,1,0,0,0,0,0,0/0,0/0,0,0,6,2002,Scoring
14,Philadelphia Eagles,Shawn Barber,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2002,Scoring
0,Philadelphia Eagles,David Akers,0,0,0,0,0,0,0,0,0,0,42/42,24/29,0,0,114,2003,Scoring
1,Philadelphia Eagles,Brian Westbrook,13,7,4,0,2,0,0,0,0,0,0/0,0/0,0,0,78,2003,Scoring
2,Philadelphia Eagles,Correll Buckhalter,9,8,1,0,0,0,0,0,0,0,0/0,0/0,0,0,54,2003,Scoring
3,Philadelphia Eagles,Duce Staley,7,5,2,0,0,0,0,0,0,0,0/0,0/0,0,0,42,2003,Scoring
4,Philadelphia Eagles,Jon Ritchie,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2003,Scoring
5,Philadelphia Eagles,Donovan McNabb,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2003,Scoring
6,Philadelphia Eagles,Freddie Mitchell,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2003,Scoring
7,Philadelphia Eagles,Todd Pinkston,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2003,Scoring
8,Philadelphia Eagles,L.J. Smith,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2003,Scoring
9,Philadelphia Eagles,James Thrash,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2003,Scoring
10,Philadelphia Eagles,Ndukwe Kalu,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2003,Scoring
0,Philadelphia Eagles,David Akers,0,0,0,0,0,0,0,0,0,0,41/42,27/32,0,0,122,2004,Scoring
1,Philadelphia Eagles,Terrell Owens,14,0,14,0,0,0,0,0,0,0,0/0,0/0,0,0,84,2004,Scoring
2,Philadelphia Eagles,Brian Westbrook,9,3,6,0,0,0,0,0,0,0,0/0,0/0,0,0,54,2004,Scoring
3,Philadelphia Eagles,L.J. Smith,5,0,5,0,0,0,0,0,0,0,0/0,0/0,0,0,30,2004,Scoring
4,Philadelphia Eagles,Dorsey Levens,4,4,0,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2004,Scoring
5,Philadelphia Eagles,Chad Lewis,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2004,Scoring
