,Team,Player,Tot,R,P,KR,PR,IR,FR,BK,BP,FGR,PAT,FG,Conv,Saf,Pts,Season,Type
8,Philadelphia Eagles,Bryce Brown,2,2,0,0,0,0,0,0,0,0,0/0,0/0,1,0,14,2013,Scoring
9,Philadelphia Eagles,Jason Avant,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2013,Scoring
10,Philadelphia Eagles,Michael Vick,2,2,0,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2013,Scoring
11,Philadelphia Eagles,Jeff Maehl,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2013,Scoring
12,Philadelphia Eagles,Najee Goode,1,0,0,0,0,0,1,0,0,0,0/0,0/0,0,0,6,2013,Scoring
13,Philadelphia Eagles,Brandon Boykin,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2013,Scoring
14,Philadelphia Eagles,Trent Cole,0,0,0,0,0,0,0,0,0,0,0/0,0/0,0,1,2,2013,Scoring
0,Philadelphia Eagles,Cody Parkey,0,0,0,0,0,0,0,0,0,0,54/54,32/36,0,0,150,2014,Scoring
1,Philadelphia Eagles,Jeremy Maclin,10,0,10,0,0,0,0,0,0,0,0/0,0/0,0,0,60,2014,Scoring
2,Philadelphia Eagles,Jordan Matthews,8,0,8,0,0,0,0,0,0,0,0/0,0/0,0,0,48,2014,Scoring
3,Philadelphia Eagles,Darren Sproles,8,6,0,0,2,0,0,0,0,0,0/0,0/0,0,0,48,2014,Scoring
4,Philadelphia Eagles,Chris Polk,5,4,0,1,0,0,0,0,0,0,0/0,0/0,0,0,30,2014,Scoring
5,Philadelphia Eagles,LeSean McCoy,5,5,0,0,0,0,0,0,0,0,0/0,0/0,0,0,30,2014,Scoring
6,Philadelphia Eagles,Riley Cooper,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2014,Scoring
7,Philadelphia Eagles,Zach Ertz,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2014,Scoring
8,Philadelphia Eagles,James Casey,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2014,Scoring
9,Philadelphia Eagles,Fletcher Cox,1,0,0,0,0,0,1,0,0,0,0/0,0/0,0,0,6,2014,Scoring
10,Philadelphia Eagles,Brad Smith,1,0,0,0,0,0,0,0,1,0,0/0,0/0,0,0,6,2014,Scoring
11,Philadelphia Eagles,Malcolm Jenkins,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2014,Scoring
12,Philadelphia Eagles,Cedric Thornton,1,0,0,0,0,0,1,0,0,0,0/0,0/0,0,0,6,2014,Scoring
13,Philadelphia Eagles,Chris Maragos,1,0,0,0,0,0,0,0,1,0,0/0,0/0,0,0,6,2014,Scoring
14,Philadelphia Eagles,Mark Sanchez,1,1,0,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2014,Scoring
15,Philadelphia Eagles,Bradley Fletcher,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2014,Scoring
16,Philadelphia Eagles,Josh Huff,1,0,0,1,0,0,0,0,0,0,0/0,0/0,0,0,6,2014,Scoring
17,Philadelphia Eagles,Brent Celek,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2014,Scoring
18,Philadelphia Eagles,Trey Burton,1,0,0,0,0,0,0,0,1,0,0/0,0/0,0,0,6,2014,Scoring
0,Philadelphia Eagles,Caleb Sturgis,0,0,0,0,0,0,0,0,0,0,35/37,18/22,0,0,89,2015,Scoring
1,Philadelphia Eagles,Jordan Matthews,8,0,8,0,0,0,0,0,0,0,0/0,0/0,0,0,48,2015,Scoring
2,Philadelphia Eagles,DeMarco Murray,7,6,1,0,0,0,0,0,0,0,0/0,0/0,0,0,42,2015,Scoring
3,Philadelphia Eagles,Ryan Mathews,7,6,1,0,0,0,0,0,0,0,0/0,0/0,0,0,42,2015,Scoring
4,Philadelphia Eagles,Darren Sproles,6,3,1,0,2,0,0,0,0,0,0/0,0/0,0,0,36,2015,Scoring
5,Philadelphia Eagles,Brent Celek,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2015,Scoring
6,Philadelphia Eagles,Josh Huff,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2015,Scoring
7,Philadelphia Eagles,Cody Parkey,0,0,0,0,0,0,0,0,0,0,7/7,3/4,0,0,16,2015,Scoring
8,Philadelphia Eagles,Riley Cooper,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2015,Scoring
9,Philadelphia Eagles,Zach Ertz,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2015,Scoring
10,Philadelphia Eagles,Walter Thurmond,1,0,0,0,0,0,1,0,0,0,0/0,0/0,0,1,8,2015,Scoring
11,Philadelphia Eagles,Malcolm Jenkins,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2015,Scoring
12,Philadelphia Eagles,Najee Goode,1,0,0,0,0,0,0,0,1,0,0/0,0/0,0,0,6,2015,Scoring
13,Philadelphia Eagles,Nolan Carroll,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2015,Scoring
14,Philadelphia Eagles,Jordan Hicks,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2015,Scoring
15,Philadelphia Eagles,Miles Austin,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2015,Scoring
16,Philadelphia Eagles,Nelson Agholor,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2015,Scoring
17,Philadelphia Eagles,Mark Sanchez,0,0,0,0,0,0,0,0,0,0,0/0,0/0,0,0,0,2015,Scoring
0,New England Patriots,Adam Vinatieri,0,0,0,0,0,0,0,0,0,0,25/25,27/33,0,0,106,2000,Scoring
1,New England Patriots,Terry Glenn,6,0,6,0,0,0,0,0,0,0,0/0,0/0,0,0,36,2000,Scoring
2,New England Patriots,Kevin Faulk,5,4,1,0,0,0,0,0,0,0,0/0,0/0,1,0,32,2000,Scoring
3,New England Patriots,Troy Brown,5,0,4,0,1,0,0,0,0,0,0/0,0/0,0,0,30,2000,Scoring
4,New England Patriots,J.R. Redmond,3,1,2,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2000,Scoring
5,New England Patriots,Eric Bjornson,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2000,Scoring
6,New England Patriots,Drew Bledsoe,2,2,0,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2000,Scoring
7,New England Patriots,Tony Carter,2,2,0,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2000,Scoring
8,New England Patriots,Tony Simmons,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2000,Scoring
9,New England Patriots,Rod Rutledge,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2000,Scoring
0,New England Patriots,Adam Vinatieri,0,0,0,0,0,0,0,0,0,0,41/42,24/30,0,0,113,2001,Scoring
1,New England Patriots,Antowain Smith,13,12,1,0,0,0,0,0,0,0,0/0,0/0,0,0,78,2001,Scoring
2,New England Patriots,Troy Brown,7,0,5,0,2,0,0,0,0,0,0/0,0/0,0,0,42,2001,Scoring
3,New England Patriots,David Patten,5,1,4,0,0,0,0,0,0,0,0/0,0/0,0,0,30,2001,Scoring
4,New England Patriots,Jermaine Wiggins,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2001,Scoring
5,New England Patriots,Marc Edwards,3,1,2,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2001,Scoring
6,New England Patriots,Kevin Faulk,3,1,2,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2001,Scoring
7,New England Patriots,Otis Smith,2,0,0,0,0,2,0,0,0,0,0/0,0/0,0,0,12,2001,Scoring
8,New England Patriots,Ty Law,2,0,0,0,0,2,0,0,0,0,0/0,0/0,0,0,12,2001,Scoring
9,New England Patriots,Terry Glenn,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2001,Scoring
10,New England Patriots,Terrell Buckley,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2001,Scoring
11,New England Patriots,Charles Johnson,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2001,Scoring
12,New England Patriots,Patrick Pass,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2001,Scoring
0,New England Patriots,Adam Vinatieri,0,0,0,0,0,0,0,0,0,0,36/36,27/30,0,0,117,2002,Scoring
1,New England Patriots,Antowain Smith,8,6,2,0,0,0,0,0,0,0,0/0,0/0,1,0,50,2002,Scoring
2,New England Patriots,Christian Fauria,7,0,7,0,0,0,0,0,0,0,0/0,0/0,1,0,44,2002,Scoring
3,New England Patriots,Kevin Faulk,7,2,3,2,0,0,0,0,0,0,0/0,0/0,0,0,42,2002,Scoring
4,New England Patriots,David Patten,5,0,5,0,0,0,0,0,0,0,0/0,0/0,0,0,30,2002,Scoring
5,New England Patriots,Troy Brown,3,0,3,0,0,0,0,0,0,0,0/0,0/0,1,0,20,2002,Scoring
6,New England Patriots,Deion Branch,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2002,Scoring
7,New England Patriots,Tedy Bruschi,2,0,0,0,0,2,0,0,0,0,0/0,0/0,0,0,12,2002,Scoring
8,New England Patriots,Donald Hayes,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2002,Scoring
9,New England Patriots,Victor Green,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2002,Scoring
10,New England Patriots,Tebucky Jones,1,0,0,0,0,0,1,0,0,0,0/0,0/0,0,0,6,2002,Scoring
11,New England Patriots,Daniel Graham,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2002,Scoring
12,New England Patriots,Cameron Cleeland,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2002,Scoring
13,New England Patriots,Mike Vrabel,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2002,Scoring
0,New England Patriots,Adam Vinatieri,0,0,0,0,0,0,0,0,0,0,37/38,25/34,0,0,112,2003,Scoring
1,New England Patriots,David Givens,6,0,6,0,0,0,0,0,0,0,0/0,0/0,0,0,36,2003,Scoring
2,New England Patriots,Mike Cloud,5,5,0,0,0,0,0,0,0,0,0/0,0/0,0,0,30,2003,Scoring
3,New England Patriots,Daniel Graham,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2003,Scoring
4,New England Patriots,Troy Brown,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2003,Scoring
5,New England Patriots,Bethel Johnson,3,0,2,1,0,0,0,0,0,0,0/0,0/0,0,0,18,2003,Scoring
6,New England Patriots,Antowain Smith,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2003,Scoring
7,New England Patriots,Deion Branch,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2003,Scoring
8,New England Patriots,Tedy Bruschi,2,0,0,0,0,2,0,0,0,0,0/0,0/0,0,0,12,2003,Scoring
9,New England Patriots,Christian Fauria,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2003,Scoring
10,New England Patriots,Larry Centers,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2003,Scoring
11,New England Patriots,Dedric Ward,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2003,Scoring
12,New England Patriots,Tom Brady,1,1,0,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2003,Scoring
13,New England Patriots,Matt Chatham,1,0,0,0,0,0,1,0,0,0,0/0,0/0,0,0,6,2003,Scoring
14,New England Patriots,Ty Law,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2003,Scoring
15,New England Patriots,Asante Samuel,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2003,Scoring
0,New England Patriots,Adam Vinatieri,0,0,0,0,0,0,0,0,0,0,48/48,31/33,0,0,141,2004,Scoring
1,New England Patriots,Corey Dillon,13,12,1,0,0,0,0,0,0,0,0/0,0/0,1,0,80,2004,Scoring
2,New England Patriots,David Patten,7,0,7,0,0,0,0,0,0,0,0/0,0/0,0,0,42,2004,Scoring
3,New England Patriots,Daniel Graham,7,0,7,0,0,0,0,0,0,0,0/0,0/0,0,0,42,2004,Scoring
4,New England Patriots,Deion Branch,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2004,Scoring
5,New England Patriots,David Givens,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2004,Scoring
6,New England Patriots,Kevin Faulk,3,2,1,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2004,Scoring
7,New England Patriots,Christian Fauria,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2004,Scoring
8,New England Patriots,Mike Vrabel,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2004,Scoring
9,New England Patriots,Bethel Johnson,2,0,1,1,0,0,0,0,0,0,0/0,0/0,0,0,12,2004,Scoring
10,New England Patriots,Richard Seymour,1,0,0,0,0,0,1,0,0,0,0/0,0/0,0,0,6,2004,Scoring
11,New England Patriots,Rabih Abdullah,1,1,0,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2004,Scoring
12,New England Patriots,Troy Brown,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2004,Scoring
13,New England Patriots,Jarvis Green,1,0,0,0,0,0,1,0,0,0,0/0,0/0,0,0,6,2004,Scoring
14,New England Patriots,Randall Gay,1,0,0,0,0,0,1,0,0,0,0/0,0/0,0,0,6,2004,Scoring
0,New England Patriots,Adam Vinatieri,0,0,0,0,0,0,0,0,0,0,40/41,20/25,0,0,100,2005,Scoring
1,New England Patriots,Corey Dillon,13,12,1,0,0,0,0,0,0,0,0/0,0/0,0,0,78,2005,Scoring
2,New England Patriots,Deion Branch,5,0,5,0,0,0,0,0,0,0,0/0,0/0,0,0,30,2005,Scoring
3,New England Patriots,Benjamin Watson,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2005,Scoring
4,New England Patriots,Mike Vrabel,4,0,3,0,0,1,0,0,0,0,0/0,0/0,0,0,24,2005,Scoring
5,New England Patriots,Daniel Graham,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2005,Scoring
6,New England Patriots,Tim Dwight,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2005,Scoring
7,New England Patriots,Patrick Pass,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2005,Scoring
8,New England Patriots,Christian Fauria,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2005,Scoring
9,New England Patriots,Troy Brown,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2005,Scoring
10,New England Patriots,David Givens,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2005,Scoring
11,New England Patriots,Tom Brady,1,1,0,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2005,Scoring
12,New England Patriots,Bethel Johnson,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2005,Scoring
13,New England Patriots,Andre' Davis,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2005,Scoring
14,New England Patriots,James Sanders,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2005,Scoring
15,New England Patriots,Thomas Ashworth,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2005,Scoring
16,New England Patriots,Heath Evans,0,0,0,0,0,0,0,0,0,0,0/0,0/0,1,0,2,2005,Scoring
0,New England Patriots,Stephen Gostkowski,0,0,0,0,0,0,0,0,0,0,43/44,20/26,0,0,103,2006,Scoring
1,New England Patriots,Corey Dillon,13,13,0,0,0,0,0,0,0,0,0/0,0/0,0,0,78,2006,Scoring
2,New England Patriots,Laurence Maroney,7,6,1,0,0,0,0,0,0,0,0/0,0/0,0,0,42,2006,Scoring
3,New England Patriots,Troy Brown,4,0,4,0,0,0,0,0,0,0,0/0,0/0,1,0,26,2006,Scoring
4,New England Patriots,Reche Caldwell,4,0,4,0,0,0,0,0,0,0,0/0,0/0,1,0,26,2006,Scoring
5,New England Patriots,Kevin Faulk,3,1,2,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2006,Scoring
6,New England Patriots,Chad Jackson,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2006,Scoring
7,New England Patriots,Doug Gabriel,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2006,Scoring
8,New England Patriots,Benjamin Watson,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2006,Scoring
9,New England Patriots,Daniel Graham,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2006,Scoring
10,New England Patriots,Heath Evans,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2006,Scoring
11,New England Patriots,Jabar Gaffney,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2006,Scoring
12,New England Patriots,Ellis Hobbs,1,0,0,1,0,0,0,0,0,0,0/0,0/0,0,0,6,2006,Scoring
13,New England Patriots,David Thomas,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2006,Scoring
14,New England Patriots,Ty Warren,0,0,0,0,0,0,0,0,0,0,0/0,0/0,0,1,2,2006,Scoring
0,New England Patriots,Randy Moss,23,0,23,0,0,0,0,0,0,0,0/0,0/0,0,0,138,2007,Scoring
1,New England Patriots,Stephen Gostkowski,0,0,0,0,0,0,0,0,0,0,74/74,21/24,0,0,137,2007,Scoring
2,New England Patriots,Wes Welker,8,0,8,0,0,0,0,0,0,0,0/0,0/0,0,0,48,2007,Scoring
3,New England Patriots,Laurence Maroney,6,6,0,0,0,0,0,0,0,0,0/0,0/0,1,0,38,2007,Scoring
4,New England Patriots,Benjamin Watson,6,0,6,0,0,0,0,0,0,0,0/0,0/0,0,0,36,2007,Scoring
5,New England Patriots,Jabar Gaffney,5,0,5,0,0,0,0,0,0,0,0/0,0/0,0,0,30,2007,Scoring
6,New England Patriots,Sammy Morris,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2007,Scoring
7,New England Patriots,Heath Evans,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2007,Scoring
8,New England Patriots,Donte' Stallworth,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2007,Scoring
9,New England Patriots,Ellis Hobbs,2,0,0,1,0,0,1,0,0,0,0/0,0/0,0,0,12,2007,Scoring
10,New England Patriots,Tom Brady,2,2,0,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2007,Scoring
11,New England Patriots,Mike Vrabel,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2007,Scoring
12,New England Patriots,Kyle Eckel,2,2,0,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2007,Scoring
13,New England Patriots,Kyle Brady,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2007,Scoring
14,New England Patriots,Randall Gay,1,0,0,0,0,0,1,0,0,0,0/0,0/0,0,0,6,2007,Scoring
15,New England Patriots,Asante Samuel,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2007,Scoring
16,New England Patriots,Kevin Faulk,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2007,Scoring
17,New England Patriots,Rosevelt Colvin,1,0,0,0,0,0,1,0,0,0,0/0,0/0,0,0,6,2007,Scoring
18,New England Patriots,Matt Cassel,1,1,0,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2007,Scoring
19,New England Patriots,Willie Andrews,1,0,0,1,0,0,0,0,0,0,0/0,0/0,0,0,6,2007,Scoring
0,New England Patriots,Stephen Gostkowski,0,0,0,0,0,0,0,0,0,0,40/40,36/40,0,0,148,2008,Scoring
1,New England Patriots,Randy Moss,11,0,11,0,0,0,0,0,0,0,0/0,0/0,0,0,66,2008,Scoring
2,New England Patriots,Sammy Morris,7,7,0,0,0,0,0,0,0,0,0/0,0/0,0,0,42,2008,Scoring
3,New England Patriots,Kevin Faulk,6,3,3,0,0,0,0,0,0,0,0/0,0/0,0,0,36,2008,Scoring
4,New England Patriots,BenJarvus Green-Ellis,5,5,0,0,0,0,0,0,0,0,0/0,0/0,0,0,30,2008,Scoring
5,New England Patriots,LaMont Jordan,4,4,0,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2008,Scoring
6,New England Patriots,Wes Welker,3,0,3,0,0,0,0,0,0,0,0/0,0/0,1,0,20,2008,Scoring
7,New England Patriots,Jabar Gaffney,2,0,2,0,0,0,0,0,0,0,0/0,0/0,1,0,14,2008,Scoring
8,New England Patriots,Matt Cassel,2,2,0,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2008,Scoring
0,New England Patriots,Stephen Gostkowski,0,0,0,0,0,0,0,0,0,0,47/47,26/31,0,0,125,2009,Scoring
1,New England Patriots,Randy Moss,13,0,13,0,0,0,0,0,0,0,0/0,0/0,1,0,80,2009,Scoring
2,New England Patriots,Laurence Maroney,9,9,0,0,0,0,0,0,0,0,0/0,0/0,0,0,54,2009,Scoring
3,New England Patriots,Benjamin Watson,5,0,5,0,0,0,0,0,0,0,0/0,0/0,0,0,30,2009,Scoring
4,New England Patriots,Fred Taylor,4,4,0,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2009,Scoring
5,New England Patriots,Wes Welker,4,0,4,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2009,Scoring
6,New England Patriots,Kevin Faulk,3,2,1,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2009,Scoring
7,New England Patriots,Sammy Morris,2,2,0,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2009,Scoring
8,New England Patriots,Chris Baker,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2009,Scoring
9,New England Patriots,Sam Aiken,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2009,Scoring
10,New England Patriots,Leigh Bodden,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2009,Scoring
11,New England Patriots,Julian Edelman,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2009,Scoring
12,New England Patriots,Brandon Meriweather,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2009,Scoring
13,New England Patriots,Brian Hoyer,1,1,0,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2009,Scoring
0,New England Patriots,BenJarvus Green-Ellis,13,13,0,0,0,0,0,0,0,0,0/0,0/0,0,0,78,2010,Scoring
1,New England Patriots,Shayne Graham,0,0,0,0,0,0,0,0,0,0,35/37,12/12,0,0,71,2010,Scoring
2,New England Patriots,Rob Gronkowski,10,0,10,0,0,0,0,0,0,0,0/0,0/0,0,0,60,2010,Scoring
3,New England Patriots,Stephen Gostkowski,0,0,0,0,0,0,0,0,0,0,26/26,10/13,0,0,56,2010,Scoring
4,New England Patriots,Wes Welker,7,0,7,0,0,0,0,0,0,0,1/1,0/0,0,0,43,2010,Scoring
5,New England Patriots,Aaron Hernandez,6,0,6,0,0,0,0,0,0,0,0/0,0/0,0,0,36,2010,Scoring
6,New England Patriots,Danny Woodhead,6,5,1,0,0,0,0,0,0,0,0/0,0/0,0,0,36,2010,Scoring
7,New England Patriots,Deion Branch,5,0,5,0,0,0,0,0,0,0,0/0,0/0,0,0,30,2010,Scoring
8,New England Patriots,Brandon Tate,5,0,3,2,0,0,0,0,0,0,0/0,0/0,0,0,30,2010,Scoring
9,New England Patriots,Randy Moss,3,0,3,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2010,Scoring
10,New England Patriots,Kyle Arrington,2,0,0,0,0,1,0,1,0,0,0/0,0/0,0,0,12,2010,Scoring
11,New England Patriots,Alge Crumpler,2,0,2,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2010,Scoring
12,New England Patriots,Gary Guyton,2,0,0,0,0,1,1,0,0,0,0/0,0/0,0,0,12,2010,Scoring
13,New England Patriots,James Sanders,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2010,Scoring
14,New England Patriots,Patrick Chung,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2010,Scoring
15,New England Patriots,Julian Edelman,1,0,0,0,1,0,0,0,0,0,0/0,0/0,0,0,6,2010,Scoring
16,New England Patriots,Tom Brady,1,1,0,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2010,Scoring
0,New England Patriots,Stephen Gostkowski,0,0,0,0,0,0,0,0,0,0,59/59,28/33,0,0,143,2011,Scoring
1,New England Patriots,Rob Gronkowski,18,1,17,0,0,0,0,0,0,0,0/0,0/0,0,0,108,2011,Scoring
2,New England Patriots,BenJarvus Green-Ellis,11,11,0,0,0,0,0,0,0,0,0/0,0/0,0,0,66,2011,Scoring
3,New England Patriots,Wes Welker,9,0,9,0,0,0,0,0,0,0,0/0,0/0,0,0,54,2011,Scoring
4,New England Patriots,Aaron Hernandez,7,0,7,0,0,0,0,0,0,0,0/0,0/0,0,0,42,2011,Scoring
5,New England Patriots,Deion Branch,5,0,5,0,0,0,0,0,0,0,0/0,0/0,0,0,30,2011,Scoring
6,New England Patriots,Tom Brady,3,3,0,0,0,0,0,0,0,0,0/0,0/0,0,0,18,2011,Scoring
7,New England Patriots,Danny Woodhead,1,1,0,0,0,0,0,0,0,0,0/0,0/0,2,0,10,2011,Scoring
8,New England Patriots,Chad Johnson,1,0,1,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2011,Scoring
9,New England Patriots,Vince Wilfork,1,0,0,0,0,0,1,0,0,0,0/0,0/0,0,0,6,2011,Scoring
10,New England Patriots,Shane Vereen,1,1,0,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2011,Scoring
11,New England Patriots,Julian Edelman,1,0,0,0,1,0,0,0,0,0,0/0,0/0,0,0,6,2011,Scoring
12,New England Patriots,Rob Ninkovich,1,0,0,0,0,1,0,0,0,0,0/0,0/0,0,0,6,2011,Scoring
13,New England Patriots,Stevan Ridley,1,1,0,0,0,0,0,0,0,0,0/0,0/0,0,0,6,2011,Scoring
0,New England Patriots,Stephen Gostkowski,0,0,0,0,0,0,0,0,0,0,66/66,29/35,0,0,153,2012,Scoring
1,New England Patriots,Stevan Ridley,12,12,0,0,0,0,0,0,0,0,0/0,0/0,0,0,72,2012,Scoring
2,New England Patriots,Rob Gronkowski,11,0,11,0,0,0,0,0,0,0,0/0,0/0,0,0,66,2012,Scoring
3,New England Patriots,Danny Woodhead,7,4,3,0,0,0,0,0,0,0,0/0,0/0,0,0,42,2012,Scoring
4,New England Patriots,Wes Welker,6,0,6,0,0,0,0,0,0,0,0/0,0/0,0,0,36,2012,Scoring
5,New England Patriots,Julian Edelman,5,0,3,0,1,0,1,0,0,0,0/0,0/0,0,0,30,2012,Scoring
6,New England Patriots,Aaron Hernandez,5,0,5,0,0,0,0,0,0,0,0/0,0/0,0,0,30,2012,Scoring
7,New England Patriots,Brandon Lloyd,5,0,4,0,0,0,1,0,0,0,0/0,0/0,0,0,30,2012,Scoring
8,New England Patriots,Shane Vereen,4,3,1,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2012,Scoring
9,New England Patriots,Tom Brady,4,4,0,0,0,0,0,0,0,0,0/0,0/0,0,0,24,2012,Scoring
10,New England Patriots,Brandon Bolden,2,2,0,0,0,0,0,0,0,0,0/0,0/0,0,0,12,2012,Scoring
11,New England Patriots,Steve Gregory,1,0,0,0,0,0,1,0,0,0,0/0,0/0,0,0,6,2012,Scoring
12,New England Patriots,Dont'a Hightower,1,0,0,0,0,0,1,0,0,0,0/0,0/0,0,0,6,2012,Scoring
