,Team,Player,Att,Cmp,Pct,Yds,YPA,TD,TD_pct,Int,Int_pct,Lg,Sack,Loss,Rate,Season
0,Philadelphia Eagles,Brian Mitchell,,,,"1,124",,1,,,,89t,,,,2000
1,Philadelphia Eagles,Dameane Douglas,,,,50,,0,,,,41,,,,2000
2,Philadelphia Eagles,Luther Broughton,,,,20,,0,,,,20,,,,2000
3,Philadelphia Eagles,Brandon Whiting,,,,18,,0,,,,18,,,,2000
4,Philadelphia Eagles,Stanley Pritchett,,,,15,,0,,,,15,,,,2000
5,Philadelphia Eagles,Jeff Thomason,,,,10,,0,,,,10,,,,2000
