,Team,Player,Att,Cmp,Pct,Yds,YPA,TD,TD_pct,Int,Int_pct,Lg,Sack,Loss,Rate,Season
0,Philadelphia Eagles,Donovan McNabb,569,330,58.0,"3,365",5.9,21,3.7,13,2.3,70t,45,262,77.8,2000
1,Philadelphia Eagles,Brian Mitchell,4,1,25.0,21,5.2,0,0.0,0,0.0,21,0,0,49.0,2000
2,Philadelphia Eagles,Torrance Small,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0,0,0.0,2000
3,Philadelphia Eagles,Koy Detmer,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0,0,0.0,2000
